Landings (tonnes)
1  1
1955  2013
1  14
5
545.250 #1955
486.909 #1956
455.182 #1957
517.359 #1958
459.081 #1959
470.121 #1960
377.291 #1961
388.985 #1962
408.800 #1963
437.012 #1964
387.106 #1965
353.357 #1966
335.721 #1967
381.770 #1968
403.205 #1969
475.077 #1970
444.248 #1971
395.166 #1972
369.205 #1973
368.133 #1974
364.754 #1975
346.253 #1976
340.086 #1977
329.602 #1978
366.462 #1979
432.237 #1980
465.032 #1981
380.068 #1982
298.049 #1983
282.022 #1984
323.428 #1985
364.797 #1986
389.915 #1987
377.554 #1988
363.125 #1989
335.316 #1990
307.759 #1991
264.834 #1992
250.704 #1993
178.138 #1994
168.592 #1995
180.701 #1996
203.112 #1997
243.987 #1998
260.147 #1999
235.092 #2000
234.229 #2001
208.487 #2002
207.543 #2003
226.762 #2004
213.403 #2005
196.077 #2006
170.300 #2007
146.104 #2008
181.151 #2009
168.880 #2010
170.425 #2011
194.795 #2012
223.548 #2013

